conference_name,year,acronym,rank
aclweb.org___ACL___ARR___2024___August___v2,2024,ACL,A*
NeurIPS.cc___2024___Datasets_and_Benchmarks_Track___v2,2024,NeurIPS,A*
ICML.cc___2021___Workshop___INNF___v1,2021,ICML,A*
thecvf.com___CVPR___2024___Workshop___VLADR___v2,2024,CVPR,A*
aclweb.org___ACL___ARR___2021___Jun___v1,2021,ACL,A*
ICLR.cc___2024___Workshop___AfricaNLP___v2,2024,ICLR,A*
ICML.cc___2024___Conference___v2,2024,ICML,A*
ICLR.cc___2019___Workshop___drlStructPred___v1,2019,ICLR,A*
eswc-conferences.org___ESWC___2019___Workshop___KGB___v1,2019,ESWC,B
graphicsinterface.org___Graphics_Interface___2021___Conference___v1,2021,404,not-icore
ICML.cc___2024___Workshop___ICL___v2,2024,ICML,A*
umich.edu___University_of_Michigan___Fall_2024___CSE595_NLP___v2,2024,404,not-icore
icaps-conference.org___ICAPS___2022___Workshop___HSDIP___v1,2022,ICAPS,A*
wikimedia.it___Wikidata_and_Research___2025___Conference___v2,2025,404,not-icore
ICLR.cc___2023___Workshop___TML4H___v1,2023,ICLR,A*
ACM.org___ICAIF___2024___Workshop___P2P___v2,2024,P2P,C
ICLR.cc___2025___Workshop___FM-Wild___v2,2025,ICLR,A*
JSYS___2023___Aug_Papers___v2,2023,404,not-icore
AAAI.org___2024___Workshop___XAI4DRL___v2,2024,AAAI,A*
IEEE.org___2024___ICRA___Workshop___VLMNM___v2,2024,ICRA,A*
tinyml.org___tinyML___2021___Research_Symposium___v1,2021,404,not-icore
NeurIPS.cc___2024___Workshop___BDU___v2,2024,NeurIPS,A*
ACM.org___ICMI___2021___Workshop___GENEA___v1,2021,ICMI,B
NeurIPS.cc___2024___Workshop___M3L___v2,2024,NeurIPS,A*
NeurIPS.cc___2021___Workshop___XAI4Debugging___v1,2021,NeurIPS,A*
eswc-conferences.org___ESWC___2021___Workshop___DORIC-MM___v1,2021,ESWC,B
aclweb.org___ACL___2024___Workshop___SpLU-RoboNLP___v2,2024,ACL,A*
ijcai.org___IJCAI___2021___Workshop___NSNLI___v1,2021,IJCAI,A*
approximateinference.org___AABI___2022___Symposium___v1,2022,404,not-icore
umontreal.ca___Université_de_Montréal___Winter2021___MAT6215___v1,2021,404,not-icore
AKBC.ws___2021___Conference___v1,2021,404,not-icore
DMLR___v2,,404,not-icore
roboticsfoundation.org___RSS___2020___Workshop___Robust_Autonomy___v1,2020,RSS,TBR
aclweb.org___ACL___ARR___2023___October___v1,2023,ACL,A*
NeurIPS.cc___2024___Conference___v2,2024,NeurIPS,A*
ICRA.org___2023___Workshop___Embracing_Contacts___v1,2023,ICRA,A*
ICLR.cc___2024___Workshop___PML___v2,2024,ICLR,A*
acmmm.org___ACMMM___2022___Track___Reproducibility___v1,2022,ACMMM,A*
IEEE.org___2024___ICRA___Workshop___RoboNerF___v2,2024,ICRA,A*
conceptuccino.uni-osnabrueck.de___CARLA___2020___Workshop___v1,2020,404,not-icore
NeurIPS.cc___2023___Workshop___GenBio___v2,2023,NeurIPS,A*
SampTA___2023___Conference___v1,2023,404,not-icore
ICLR.cc___2024___Workshop___AI4DiffEqtnsInSci___v2,2024,ICLR,A*
harms-risks-ai-military.org___HRAIM___2024___Workshop___v2,2024,404,not-icore
AKBC.ws___2021___Workshop___CSKB___v1,2021,404,not-icore
aclweb.org___ACL___ARR___2023___February___v1,2023,ACL,A*
ICML.cc___2024___Workshop___LCFM___v2,2024,ICML,A*
thecvf.com___ECCV___2022___Workshop___VIPriors___v1,2022,ECCV,A*
ICML.cc___2024___Workshop___AI4MATH___v2,2024,ICML,A*
graphicsinterface.org___Graphics_Interface___2023___Conference___v1,2023,404,not-icore
NoDaLiDa___2023___Conference___v1,2023,404,not-icore
NeurIPS.cc___2023___Workshop___M3L___v2,2023,NeurIPS,A*
GeoMedIA___2022___Workshop___Extended_Abstracts___v1,2022,404,not-icore
NeurIPS.cc___2022___Workshop___SBM___v1,2022,NeurIPS,A*
ICML.cc___2024___Workshop___ES-FoMo-II___v2,2024,ICML,A*
NeurIPS.cc___2019___Workshop___DC_S2___v1,2019,NeurIPS,A*
ACM.org___SIGIR___CHIIR___2021___Workshop___Future_Conversations___v1,2021,SIGIR,A*
robot-learning.org___CoRL___2024___Workshop___CoRoboLearn___v2,2024,CoRL,Unranked
MICCAI.org___2024___Workshop___COMPAYL___v2,2024,MICCAI,A
ICLR.cc___2025___Workshop___WMARK___v2,2025,ICLR,A*
ICLR.cc___2024___Workshop___DMLR___v2,2024,ICLR,A*
ijcai.org___IJCAI___2024___Workshop___AI4Research___v2,2024,IJCAI,A*
automl.cc___AutoML___2023___Workshop_Track___v2,2023,404,not-icore
ICLR.cc___2025___Conference___v2,2025,ICLR,A*
MICCAI.org___2019___Workshop___COMPAY___v1,2019,MICCAI,A
vivoconference.org___VIVO___2021___Conference___v1,2021,404,not-icore
aclweb.org___ACL___ARR___2021___September___v1,2021,ACL,A*
ICML.cc___2024___Workshop___MFHAIA___v2,2024,ICML,A*
NeurIPS.cc___2022___Workshop___GLFrontiers___v1,2022,NeurIPS,A*
aclweb.org___ACL___2024___Workshop___ClimateNLP___v2,2024,ACL,A*
thecvf.com___ECCV___2020___Workshop___BIC___v1,2020,ECCV,A*
robot-learning.org___CoRL___2022___Workshop___LangRob___v1,2022,CoRL,Unranked
IEEE.org___SaTML___2024___Conference___v2,2024,404,not-icore
IEEE.org___2024___ICRA___Workshop___Off-road_Autonomy___v2,2024,ICRA,A*
ICRA.org___2022___Workshop___Contact-Rich___v1,2022,ICRA,A*
AAAI.org___2023___Workshop___creativeAI___v1,2023,AAAI,A*
approximateinference.org___AABI___2024___Symposium_Archival_Track___v2,2024,404,not-icore
NeurIPS.cc___2022___Conference___v1,2022,NeurIPS,A*
JSYS___2024___October_Papers___v2,2024,404,not-icore
AAAI.org___2024___Workshop___LLM-CP___v2,2024,AAAI,A*
AAAI.org___2025___Workshop___AI4Research___v2,2025,AAAI,A*
ICML.cc___2022___Workshop___Pre-Training___v1,2022,ICML,A*
NeurIPS.cc___2022___Workshop___SVRHM___v1,2022,NeurIPS,A*
ACM.org___Middleware___Workshop___DICG___v2,,Middleware,A
ML_Reproducibility_Challenge___2022___v1,2022,404,not-icore
aclweb.org___ACL___ARR___2024___February___v1,2024,ACL,A*
NeurIPS.cc___2024___Workshop___CALM___v2,2024,NeurIPS,A*
aclweb.org___ACL___ARR___2022___April___v1,2022,ACL,A*
XJTU.edu.cn___2025___CSUC___v2,2025,404,not-icore
icaps-conference.org___ICAPS___2025___Conference___v2,2025,ICAPS,A*
rl-conference.cc___RLC___2024___Workshop___InterpPol___v2,2024,404,not-icore
NeurIPS.cc___2021___Track___Datasets_and_Benchmarks___Round1___v1,2021,NeurIPS,A*
ICLR.cc___2024___Workshop___AGI___v2,2024,ICLR,A*
IEEE.org___2023___IROS___Workshop___DiffPropRob___v2,2023,IROS,A
AAAI.org___2025___Workshop___AICT___v2,2025,AAAI,A*
ICLR.cc___2023___Workshop___DG___v2,2023,ICLR,A*
ACML.org___2022___Workshop___CLL___v1,2022,ACML,Unranked
ICLR.cc___2025___Workshop___BuildingTrust___v2,2025,ICLR,A*
robot-learning.org___CoRL___2023___Workshop___LEAP___v2,2023,CoRL,Unranked
NeurIPS.cc___2024___Workshop___AI4Mat___v2,2024,NeurIPS,A*
ICML.cc___2024___Workshop___FM-Wild___v2,2024,ICML,A*
ICLR.cc___2023___Workshop___Trustworthy_ML___v1,2023,ICLR,A*
NeurIPS.cc___2023___Workshop___DGM4H___v2,2023,NeurIPS,A*
JSYS___2024___August_Papers___v2,2024,404,not-icore
NeurIPS.cc___2022___Workshop___TRL___v1,2022,NeurIPS,A*
ISMIR.net___2018___WoRMS___v1,2018,404,not-icore
NeurIPS.cc___2023___Workshop___HeavyTails___v2,2023,NeurIPS,A*
aclweb.org___ACL___ARR___2022___January___v1,2022,ACL,A*
ICLR.cc___2024___Workshop___ME-FoMo___v2,2024,ICLR,A*
rl-conference.cc___RLC___2024___Workshop___Deployable_RL___v2,2024,404,not-icore
aclweb.org___ACL___ARR___2022___February___v1,2022,ACL,A*
NeurIPS.cc___2022___Workshop___LMRL___v1,2022,NeurIPS,A*
ICML.cc___2024___Workshop___AI4Science___v2,2024,ICML,A*
KDD.org___2024___Workshop___Fragile_Earth___v2,2024,KDD,A*
ICML.cc___2024___Workshop___CVG___v2,2024,ICML,A*
ICLR.cc___2021___Workshop___Rethinking_ML_Papers___Exhibit_and_Workflow___v1,2021,ICLR,A*
ML_Reproducibility_Challenge___2020___v1,2020,404,not-icore
ICLR.cc___2022___Workshop___DL4C___v1,2022,ICLR,A*
NeurIPS.cc___2024___Workshop___ATTRIB___v2,2024,NeurIPS,A*
rl-conference.cc___RLC___2024___Workshop___CoCoMARL___v2,2024,404,not-icore
ccneuro.org___CCN___2020___Workshop___GAC___v1,2020,404,not-icore
NeurIPS.cc___2024___Workshop___Audio_Imagination___v2,2024,NeurIPS,A*
robot-learning.org___CoRL___2024___Workshop___LEAP___v2,2024,CoRL,Unranked
aclweb.org___ACL___2022___Workshop___CMCL_Shared_Task___v1,2022,ACL,A*
robot-learning.org___CoRL___2021___Conference___v1,2021,CoRL,Unranked
ICLR.cc___2025___Workshop___VerifAI___v2,2025,ICLR,A*
PRL___2023___IJCAI___v2,2023,IJCAI,A*
NeurIPS.cc___2024___Workshop___TSALM___v2,2024,NeurIPS,A*
NeurIPS.cc___2019___Workshop___Retrospectives___v1,2019,NeurIPS,A*
IEEE.org___EMBS___BHI___2024___Conference___v2,2024,404,not-icore
AAAI.org___2024___Workshop___SAI___v2,2024,AAAI,A*
AAAI.org___2025___Workshop___NeurMAD___v2,2025,AAAI,A*
icaps-conference.org___ICAPS___2023___Workshop___HSDIP___v1,2023,ICAPS,A*
eswc-conferences.org___ESWC___2021___Workshop___X-SENTIMENT___v1,2021,ESWC,B
ICML.cc___2023___Workshop___NCW___v2,2023,ICML,A*
ICML.cc___2023___Workshop___Frontiers4LCD___v2,2023,ICML,A*
NeurIPS.cc___2023___Workshop___CRL___v2,2023,NeurIPS,A*
thecvf.com___ECCV___2024___Workshop___Wild3D___v2,2024,ECCV,A*
ICML.cc___2020___Workshop___LifelongML___v1,2020,ICML,A*
ICLR.cc___2025___Workshop___SSI-FM___v2,2025,ICLR,A*
CPAL.cc___2024___Conference___v2,2024,404,not-icore
NeurIPS.cc___2023___Conference___v2,2023,NeurIPS,A*
icaps-conference.org___ICAPS___2024___Workshop___HAXP___v2,2024,ICAPS,A*
ICML.cc___2021___Workshop___AutoML___v1,2021,ICML,A*
ICML.cc___2020___Workshop___SAS___v1,2020,ICML,A*
ACM.org___SIGIR___Badging___v1,,SIGIR,A*
logconference.io___LOG___2022___Conference___v1,2022,404,not-icore
AAAI.org___2024___Workshop___NuCLeaR___v2,2024,AAAI,A*
i-cav.org___CAV___2023___Workshop___DAV___v1,2023,CAV,A*
JSYS___2023___March_Papers___v1,2023,404,not-icore
ICRA.org___2023___Workshop___DGA___v1,2023,ICRA,A*
NeurIPS.cc___2021___Conference___v1,2021,NeurIPS,A*
SEMANTiCS.cc___2021___Workshop___Sem4Tra___v1,2021,404,not-icore
kaist.ac.kr___KAIST___Spring2023___AI618___v1,2023,404,not-icore
automl.cc___AutoML___2023___Journal_Track___v2,2023,404,not-icore
EWRL___2024___Workshop___v2,2024,404,not-icore
ICOMP.cc___2024___Conference___v2,2024,404,not-icore
NeurIPS.cc___2024___Workshop___Red_Teaming_GenAI___v2,2024,NeurIPS,A*
ICLR.cc___2025___Workshop___WRL___v2,2025,ICLR,A*
AAAI.org___2024___Workshop___ASEA___v2,2024,AAAI,A*
ICML.cc___2024___Workshop___Agentic_Markets___v2,2024,ICML,A*
EMNLP___2023___Workshop___NLP-OSS___v2,2023,EMNLP,A*
NeurIPS.cc___2023___Workshop___MLSys___v2,2023,NeurIPS,A*
icaps-conference.org___ICAPS___2019___Workshop___SPARK___v1,2019,ICAPS,A*
auai.org___UAI___2022___Workshop___CRL___v1,2022,UAI,A
continualai.org___CLAI___2023___Unconference_Stage_2___v2,2023,404,not-icore
NeurIPS.cc___2023___Workshop___FMDM___v2,2023,NeurIPS,A*
purdue.edu___Purdue_University___ML___2023___Hackathon_Reproducibility_Challenge___v2,2023,404,not-icore
ICLR.cc___2021___Workshop___Neural_Compression___v1,2021,ICLR,A*
ICLR.cc___2019___Workshop___RML___v1,2019,ICLR,A*
ECMLPKDD.org___2020___Workshop___TeachML___v1,2020,404,not-icore
ICML.cc___2023___Workshop___SynS_and_ML___v2,2023,ICML,A*
NeurIPS.cc___2022___Workshop___FMDM___v1,2022,NeurIPS,A*
ICLR.cc___2024___Workshop___MLGenX___v2,2024,ICLR,A*
AAAI.org___2024___Spring_Symposium_Series___Clinical_FMs___v2,2024,AAAI,A*
ICML.cc___2023___Workshop___SCIS___v2,2023,ICML,A*
ICML.cc___2023___Workshop___ToM___v2,2023,ICML,A*
AAAI.org___2025___Workshop___PSS___v2,2025,AAAI,A*
JSYS___2021___Mar_Papers___v1,2021,404,not-icore
JSYS___2021___Nov_Papers___v1,2021,404,not-icore
NeurIPS.cc___2022___Workshop___TGL___v1,2022,NeurIPS,A*
roboticsfoundation.org___RSS___2022___Workshop___L-DOD___v1,2022,RSS,TBR
ICLR.cc___2025___Workshop___SCSL___v2,2025,ICLR,A*
robot-learning.org___CoRL___2024___Workshop___SAFE-ROL___v2,2024,CoRL,Unranked
AAAI.org___2023___Workshop___MLmDS___v1,2023,AAAI,A*
washington.edu___UW___Spring2021___LING-575F___v1,2021,404,not-icore
ICML.cc___2024___Workshop___MI___v2,2024,ICML,A*
ICLR.cc___2023___Workshop___SR4AD___v1,2023,ICLR,A*
AAAI.org___2025___Workshop___MALTA___v2,2025,AAAI,A*
aclweb.org___ACL___2020___Workshop___NLP-COVID___v1,2020,ACL,A*
NeurIPS.cc___2019___Workshop___Program_Transformations___v1,2019,NeurIPS,A*
IEEE.org___2024___ICRA___Workshop___3D_Manipulation___v2,2024,ICRA,A*
aclweb.org___ACL___2022___Workshop___LNLS___v1,2022,ACL,A*
ICML.cc___2023___Workshop___IMLH___v2,2023,ICML,A*
ACM.org___ICMI___2023___Workshop___GENEA___v1,2023,ICMI,B
aclweb.org___ACL___ARR___2022___December___v1,2022,ACL,A*
roboticsfoundation.org___RSS___2023___Workshop___LTAMP___v1,2023,RSS,TBR
ICLR.cc___2024___Workshop___R2-FM___v2,2024,ICLR,A*
JSYS___2021___May_Papers___v1,2021,404,not-icore
NeurIPS.cc___2024___Workshop___SciForDL___v2,2024,NeurIPS,A*
NeurIPS.cc___2021___Workshop___DLDE___v1,2021,NeurIPS,A*
NeurIPS.cc___2024___Workshop___Sys2-Reasoning___v2,2024,NeurIPS,A*
aclweb.org___ACL___2022___Workshop___CMCL___v1,2022,ACL,A*
robot-learning.org___CoRL___2022___Workshop___PRL___v1,2022,CoRL,Unranked
NeurIPS.cc___2023___Workshop___SoLaR___v2,2023,NeurIPS,A*
ICLR.cc___2023___Workshop___Physics4ML___v1,2023,ICLR,A*
MLSys___2023___Workshop___FLSys___v1,2023,404,not-icore
roboticsfoundation.org___RSS___2022___Workshop___L-DOD_Regular_Deadline___v1,2022,RSS,TBR
NeurIPS.cc___2022___Workshop___GMML___v1,2022,NeurIPS,A*
NeurIPS.cc___2021___Workshop___PERLS___v1,2021,NeurIPS,A*
CUNI.cz___2024___CJOLPhD___v2,2024,404,not-icore
ICML.cc___2024___Workshop___ARLET___v2,2024,ICML,A*
aclweb.org___ACL___ARR___2022___July___v1,2022,ACL,A*
CUHK.edu.hk___2021___Course___IERG5350___v1,2021,404,not-icore
MIDL.io___2021___Conference___v1,2021,404,not-icore
Kornai95.hu___2023___Symposium___v1,2023,404,not-icore
graphicsinterface.org___Graphics_Interface___2020___Conference___v1,2020,404,not-icore
ICLR.cc___2023___TinyPapers___v1,2023,ICLR,A*
AAAI.org___2022___Workshop___ML4OR-22___v1,2022,AAAI,A*
NeurIPS.cc___2022___Workshop___LaReL___v1,2022,NeurIPS,A*
NeurIPS.cc___2023___Workshop___ATTRIB___v2,2023,NeurIPS,A*
thecvf.com___ECCV___2020___Workshop___VIPriors___v1,2020,ECCV,A*
AAAI.org___2025___Workshop___LM4Plan___v2,2025,AAAI,A*
NeurIPS.cc___2022___Workshop___PAI4MH___v1,2022,NeurIPS,A*
thecvf.com___ECCV___2024___Workshop___W-CODA_Abstract_Paper_Track___v2,2024,ECCV,A*
aclweb.org___ACL___ARR___2021___December___v1,2021,ACL,A*
ICML.cc___2023___Workshop___AdvML-Frontiers___v2,2023,ICML,A*
ICLR.cc___2025___Workshop___ICBINB___v2,2025,ICLR,A*
MPM___2023___Workshop___v2,2023,404,not-icore
ICML.cc___2024___Workshop___TiFA___v2,2024,ICML,A*
thecvf.com___CVPR___2024___Workshop___SyntaGen___v2,2024,CVPR,A*
PRL___2023___ICAPS___v2,2023,ICAPS,A*
aclweb.org___ACL___ARR___2021___May___v1,2021,ACL,A*
AAAI.org___2024___Workshop___EcoSys___v2,2024,AAAI,A*
thecvf.com___ECCV___2022___Workshop___BIC___v1,2022,ECCV,A*
Brain-Score.org___2022___Workshop___BSW___v1,2022,404,not-icore
thecvf.com___ICCV___2021___Workshop___VIPriors___v1,2021,ICCV,A*
humanrobotinteraction.org___HRI___2021I___Workshop___VAM-HRI___v1,2021,HRI,A
MIDL.io___2021___Conference___Short___v1,2021,404,not-icore
GeoMedIA___2022___Workshop___v1,2022,404,not-icore
robot-learning.org___CoRL___2022___Workshop___Long_Horizon_Planning___v1,2022,CoRL,Unranked
ICML.cc___2024___Workshop___RLControlTheory___v2,2024,ICML,A*
ACM.org___MICRO___2023___Workshop___SAGE___v2,2023,MICRO,TBR
algorithmiclearningtheory.org___ALT___2025___Conference___v2,2025,ALT,B
NeurIPS.cc___2022___Workshop___DistShift___v1,2022,NeurIPS,A*
ICLR.cc___2025___Workshop___MCDC___v2,2025,ICLR,A*
